Property.Address.StreetAddress,Property.Address.UnitNumber,Property.Address.City,Property.Address.Province,PostalCode,Property.Address.Country,Property.Address.Latitude,Property.Address.Longitude,MlsNumber,Property.PriceUnformattedValue,DetailsURL,Building.SizeInterior,Building.Bedrooms,Building.BathroomTotal,Building.StoriesTotal,Building.UnitTotal,Land.SizeTotal,Land.SizeFrontage,Property.PhotoLink,Property.Type,Building.Type,Property.OwnershipType,Property.ParkingType,Property.ParkingSpaceTotal,PublicRemarks
94 Valley Drive,,Cambridge,Ontario,N3C1X8,Canada,43.42567688,-80.3147465,40109350,575000,https://realtor.ca/real-estate/23195704/94-valley-drive-cambridge,2143.0000,3 + 0,3,2,0,under 1/2 acre,49 ft,https://cdn.realtor.ca/listings/TS637564968702900000/reb16/highres/0/40109350_1.jpg,Single Family,House,Freehold,,,"** Backyard Oasis Alert! **  Ready now is this ideal single detached yellow brick family home in Hespeler Village. There's a gorgeous inground heated saltwater swimming pool, and hot tub, which means your home will be THE place to be this summer! With a full 3-level addition, there's plenty of space for everybody.  There are three bedrooms and three bathrooms (2 full), an open concept kitchen designed for entertaining, tasteful landscaping including armour stone, and parking spots for the whole gang with the double-wide concrete driveway! Additional highlights include: New Natural Gas Pool Heater (2020); Pool Liner (2017); Pool Equipment Included (solar cover, safety cover, robotic cleaner, etc.); Main Floor Laundry; Exercise Room; Plenty of storage space; Central A/C; Mud Room; Appliances included; Forced Air Natural Gas Furnace; Fish Pond; Wifi enabled controls for the pool from your phone (such as the Waterfall/Fountain feature); nearby parks, trails, Puslinch Marina; surrounded by mature trees and much, much more. With access to the 401 just a few KM away, you can't beat this setting. The only thing left to do now is move in and enjoy! Quick closing dates are available. Please enjoy the 3D virtual Tour link and floorplans. Welcome Home! (63305054)"
99 Tupper Crescent,,Kitchener,Ontario,N2B2Y2,Canada,43.46224954,-80.44256948,40110086,599000,https://realtor.ca/real-estate/23195551/99-tupper-crescent-kitchener,1425.0000,4 + 0,2,2,1,under 1/2 acre,60 ft,https://cdn.realtor.ca/listings/TS637564551347430000/reb16/highres/6/40110086_1.jpg,Single Family,House,Freehold,,,"Welcome home to 99 Tupper Crescent in the mature neighbourhood of Heritage Park, Kitchener! Conveniently located close to schools, community amenities, and shopping, with easy access to highways and public transit, you will find yourself falling in love with this classic family home, situated on a sizable 60 x 110 lot. This impeccably maintained, 2-storey, 4 bed, 2 bath home, features an open concept kitchen/dining area, finished basement, and an entertainers dream backyard with in-ground pool. The main floor layout has new windows and sliding glass door, providing abundant natural light, while the living room focal point is a brand-new natural gas fireplace insert. Guests will appreciate the 2-pc powder room nearby. Upstairs there are 4 spacious bedrooms with hardwood flooring and ample closet space. The well-appointed main 4-pc bath has a soaker tub and double sinks. A home office can be located upstairs or down in the generous finished basement. Family movie nights are made cozy in the rec room with an electric fireplace and room for a large couch and tv. Find sturdy built-in storage and laundry facilities in the utility room. Attention to the interior comfort of this home has not been overlooked with high-quality vinyl windows top to bottom (2016), a new A/C unit (2012), and high-efficiency furnace with humidifier (2011). Your private oasis awaits in this stunning, fully-fenced, well-landscaped backyard, with in-ground pool and safety cover. This perfect entertaining space features a stamped concrete patio, gazebo, pool house with covered bar, outdoor pot-lighting and a natural gas BBQ connection. The pool is kept clean by a variablespeed pump (2015) and updated equipment. Outdoor storage is plentiful with an additional 8 x 10 shed outfitted with electrical service. This well-maintained home is protected by an asphalt shingled roof, fascia, and gutters with leaf guards installed in 2020. Move-in ready, your sanctuary in the city awaits! (63305637)"
71B Lillian Drive E,,Waterloo,Ontario,N2J4J8,Canada,43.476633,-80.500013,40109979,559900,https://realtor.ca/real-estate/23195494/71b-lillian-drive-e-waterloo,,3 + 0,2,2,,under 1/2 acre,32 ft,https://cdn.realtor.ca/listings/TS637564515242030000/reb16/highres/9/40109979_1.jpg,Single Family,House,Freehold,,,"Welcome to this beautifully renovated Semi-Detached with amazing natural light throughout the entire main floor.  The new kitchen offers quartz counter tops and quartz island.  The double door from the kitchen takes you to an upper deck overlooking the lovely fully fenced backyard, awaiting your green thumb.  The stainless steel gas stove, dishwasher, and microwave are all under two years old.  The living room is spacious and inviting and the newly created openings in the wall opening up to the kitchen is perfect for opening up the area.  There is new laminate flooring throughout the main floor, stairs and upper bedrooms.  The three bedrooms are very spacious; the primary having double closets and again lots of natural light throughout.  The 4 piece bathroom completes the floor.  The lower level offers a choice of family room, den, office, with a 3 piece bathroom and walk out to the backyard and patio.  Two sheds allow so much storage, yet not impacting the space of the backyard.  The attic was recently upgraded with R50 insulation and the windows are newer and the RO System is rented.  The Water Heater is owned.  Being close to schools, shopping, the expressway, makes this a functional and desirable home to many, especially with the three car driveway.  Please stop by to see for yourself! (63305473)"
367 Victoria Street S,,Kitchener,Ontario,N2M3A4,Canada,43.443687,-80.509732,40112341,499900,https://realtor.ca/real-estate/23195493/367-victoria-street-s-kitchener,1043.0000,2 + 1,2,2,0,under 1/2 acre,30 ft,https://cdn.realtor.ca/listings/TS637564515201500000/reb16/highres/1/40112341_1.jpg,Single Family,House,Freehold,Detached Garage,3,"Welcome to 367 Victoria Street South! Conveniently located in the heart of Kitchener, this 3 bedroom, 2 baths detached home features a detached oversized workshop/garage built for the hobbyist at heart. Within walking distance to the new ION Rapid Transit System, this fully renovated home boasts over 1600 sqft of finished living space, featuring high-end finishes including stainless steel appliances, granite countertops, pot lights and glass shower doors. The fully finished basement has a separate entrance complete with in-law suite setup. The partially fenced-in private backyard with a massive deck is perfect for entertaining your family and friends. This picturesque home is close to schools, shopping, parks, and highway access. Dont miss this opportunity! Call today to book your private showing. (63307834)"
15 Green Valley Drive,5,Kitchener,Ontario,N2P1K7,Canada,43.40013909,-80.43242157,40108251,425000,https://realtor.ca/real-estate/23195359/15-green-valley-drive-unit-5-kitchener,,3 + 0,2,2,,,,https://cdn.realtor.ca/listings/TS637564490525630000/reb16/highres/1/40108251_1.jpg,Single Family,Apartment,Condominium,Visitor Parking,,"Great location! Green is all you see out your back windows! You'll love the no rear neighbors and only a block away you'll find trails that wander along the side of the Grand River. See pics included. This lovely well-appointed townhome has been beautifully updated throughout. To start, the kitchen is spectacular, with an area for a coffee bar with beautiful glass cabinets above for those special dishes and also includes a pantry! The bright kitchen and dinette have a great view looking out over the rear yard where all you can see is green with all the trees behind. Great view while you're having a snack at the table or washing some dishes. There's also a dining area just beside the perfect sized living room all freshly painted and is laminate. A newly finished hardwood staircase takes you to the second level where there is an updated main bath and 3 bedrooms. The large primary bedroom at the back of the home looks out to green as well. All bedroom floors are laminate and the entire home is carpet free! Moving down to the basement you will find a very large Rec room! Great place for those family get togethers! All fully updated with new laminate and has been freshly painted along with the rest of the home. The large open rec room could be used for many types of activities, even your pool table will look small in there. Through the door from the rec room you'll find a very nice laundry room with beautiful newer appliances. All appliances throughout have been updated very recently and are in great shape. The home is also situated close to a bus route and highway 401 as well as grocery shopping and a few places to eat. You won't want to miss a chance at this beautiful townhome! (63303610)"
23 Marshall Street,,Waterloo,Ontario,N2J2T1,Canada,43.47297521,-80.5227614,40113105,589000,https://realtor.ca/real-estate/23195205/23-marshall-street-waterloo,,3 + 2,2,1.5000,0,under 1/2 acre,33 ft,https://cdn.realtor.ca/listings/TS637564442494530000/reb15/highres/5/40113105_1.jpg,Single Family,House,Freehold,,,"5 Bedroom! 2 Bathrooms! Detached Home! This Home Has Charm! Desirable, Ideal Area Next To Campus. Turn-Key W/Lots Of Updates! Move-In Ready Or It Rent Out! Licenced Student Home. 30K+ Yearly Revenue Potential Available! This Home Is In The Heart Of Campus! Popular Student Street. Seconds To Laurier Science Building! Zoning Allows For Future Growth Of Many Options! In Great Shape And Currently Generating Income Fridge, Stove, Washer, Dryer. Updated Kitchen, Floors, Bathrooms! Roof (2015) Tankless Water Heater And Water Softener (2011), Furnace (2011) Keyless Lock. Storage Shed! Central Location! Close To Transit, Schools, Shopping, (63308310)"
67 Woolwich St,,Kitchener,Ontario,N2K1S2,Canada,43.4846465,-80.4846195,X5231629,599900,https://realtor.ca/real-estate/23194792/67-woolwich-st-kitchener,,3 + 1,3,2,,24.31 x 121.72 FT,,https://cdn.realtor.ca/listings/TS637564397231400000/reb82/highres/9/x5231629_1.jpg,Single Family,Row / Townhouse,Freehold,Attached Garage,2,"Gorgeous Freehold End Unit Townhouse! No Condo Fees! The Perfect Home For A First Time Buyer / Investors. Renovated Kitchen W/ Granite & New S/S Appliances Is Open To  Family & Dining Area To Create The Perfect Family Friendly Atmosphere! Cozy Family Room W/ A Gas Fireplace , Large Window For Outside View & A W/O Door To The Back Yard. The Yard Itself Is Very Private. Upstairs, 3 Bedrooms Await For You & The Master Bedrm Has A Great W/I Closet. Finished Bsmnt (28426421)"
80 Breckenridge Dr,206,Kitchener,Ontario,N2B2N9,Canada,43.4534437,-80.4437346,X5232087,369900,https://realtor.ca/real-estate/23194846/206-80-breckenridge-dr-kitchener,,2,2,,,,,https://cdn.realtor.ca/listings/TS637564397323230000/reb82/highres/7/x5232087_1.jpg,Single Family,Apartment,Condominium/Strata,Visitor Parking,1,"2 Bedroom, 2 Bath Condo In Desirable Stanley Park. Welcome To 80 Breckenridge Drive Unit 206. Conveniently Located Within Walking Distance To Shopping And Restaurants And Minutes Away From Schools, Parks, Chicopee Ski Hill, And Easy Highway Access. This Lovely Unit Offers A Spacious Open Concept Dining/Living Room With Access To A Large Covered Balcony. The Kitchen Features White Cabinetry, Tiled Backsplash And Ample Counter Space.**** EXTRAS **** The Master Bedroom Offers A Sizeable Closet And A 2-Piece Ensuite. Completing This Unit Is An Additional Bright Bedroom And Full 4-Piece Bath. Unit Comes With One Parking Space Plus The Condo Fee Includes All Utilities. (28426933)"
22 Cathay St,,Cambridge,Ontario,N1R4V2,Canada,43.3574655,-80.3030731,X5231875,599900,https://realtor.ca/real-estate/23194819/22-cathay-st-cambridge,,3,3,2,,70 x 120 FT,,https://cdn.realtor.ca/listings/TS637564397278030000/reb82/highres/5/x5231875_1.jpg,Single Family,House,Freehold,Detached Garage,10,"This Century Home Features Commercial And Residential Use. If You're Looking To Operate An At-Home Business With Living Accommodations, This Home Is What You Have Been Waiting For! It Can Also Be Converted Back To A Single Family Residence With Minor Alterations. Main Floor: Hardwood Floors, Freshly Painted Interior Doors, Kitchenette, And A 3-Piece Bath. 2nd Floor: Hardwood Floors, A 3-Piece Bath, One Bedroom, Living/Dining Room, Eat-In Kitchen, And Island. (28426694)"
26 Westwood Cres,,Cambridge,Ontario,N1S3W6,Canada,43.3462601,-80.336259,X5231729,589900,https://realtor.ca/real-estate/23194209/26-westwood-cres-cambridge,,3,2,,,60 x 100 FT,,https://cdn.realtor.ca/listings/TS637564379293570000/reb86/highres/9/x5231729_1.jpg,Single Family,House,Freehold,Attached Garage,6,"According To Google You Are Just 9 Minutes From The 401 Making This Home An Ideal Commuter Location! Forget About Cookie Cutter Subdivisions, 26 Westwood Cres Sits In An Established Neighborhood On A 60' Fenced Lot On A Tree-Lined Street Close To Parks, Schools And Shopping. This 3-Bedroom, 2 Bath Home Offers A 2-Car Garage, Parking For 6 Vehicles And A Private Rear Yard Where You Can Enjoy The Warmth Of Summer!**** EXTRAS **** Washer Works But Is Included On An """"As Is"""" Basis. Built In 1973, The Sellers Have An Esa Certificate From 2009 When They Purchased It Indicating That The Aluminum Wiring Met With The Authority's Inspection. Separate Gas Furnace In Garage Is (28425938)"
103 Krug Street,,Kitchener,Ontario,N2H2X8,Canada,43.45118471,-80.4760535,40112380,569900,https://realtor.ca/real-estate/23193999/103-krug-street-kitchener,1045.0000,3 + 0,2,1,0,under 1/2 acre,33 ft,https://cdn.realtor.ca/listings/TS637564359931730000/reb16/highres/0/40112380_1.jpg,Single Family,House,Freehold,Attached Garage,2,"As you drive up the tree lined street watching the walkers out for a stroll, kids playing and people relaxing on their front porch you will get a true sense of the area. Located in a very community oriented neighbourhood with social events (when permitted) and even a neighbourhood cookbook has been started! Walking into this cute bungalow with its welcoming blue front door you will see an updated home with character. Lovely main floor living room with large windows making the space feel bright and cheerful and beautiful original hardwood flooring. Across the hall are the two bedrooms and an updated 4 piece bathroom. There is an eat in kitchen with all appliances included. The master bedroom has wall to wall windows across the back, built in closets, shelves and desks. A beautiful area to make into an office space or keep as a bedroom with a sitting area! Making your way downstairs the utility room has lots of storage room, the laundry, workshop area, a 1 piece bathroom and an entrance to the side yard. Let your inspiration fly with the large rec room with brand new flooring - theatre room, play room, games area or maybe a bit of everything! There is a steel door entrance to your garage from the rec room- room for an SUV and storage! As the warmer weather is now here you will be able to enjoy the private backyard with a firepit, patio, shed, gas line for the BBQ. Many updates are done for you -most windows, furnace and a/c - 2019, newer rented hot water heater, water softener - 2019, new laundry sink and washer, dryer, updated thermostat, new vanity, paint, most light fixtures, gas line for BBQ, shed, RO system, keypad locks on all outside doors. Let's make this your new home! (63306379)"
210 Winfield Ave,,Waterloo,Ontario,N2J3M8,Canada,43.4787585,-80.5102206,X5231571,549900,https://realtor.ca/real-estate/23194201/210-winfield-ave-waterloo,,3,2,1,,591 x 1135 FT,,https://cdn.realtor.ca/listings/TS637564379280600000/reb86/highres/1/x5231571_1.jpg,Single Family,House,Freehold,Attached Garage,2,"Carpet Free Main Floor, Kitchen With Tons Of Cupboard Space, Updated Bath With Double Sinks, Separate Entrance To Basement, Large Yard With Covered Stone Patio. Roof (2016), Furnace & Hot Water Tank (2012), Updated Wiring & New Breaker Panel (2016).  Minutes From The Highway, Schools, Universities And Shopping. (28425772)"
250 Albert Street,216,Waterloo,Ontario,N2L3W5,Canada,43.47460759,-80.53203825,40113053,290500,https://realtor.ca/real-estate/23194237/250-albert-street-unit-216-waterloo,411.0000,1 + 0,1,1,,,,https://cdn.realtor.ca/listings/TS637564381855430000/reb33/highres/3/40113053_1.jpg,Single Family,Apartment,Condominium,None,,"Great 1 bedroom condo steps from University of Waterloo and Laurier campuses. Newer building has roof top patio, and plenty of study spaces- perfect for a student or professional. Includes appliances. Condo fees cover heat and internet- no worry living for the modern student or professional. Currently rented till Aug/21. Immediate possession available. 48 hrs notice needed for showings. (63307290)"
80 Breckenridge Drive,206,Kitchener,Ontario,N2B2N9,Canada,43.45332836,-80.4439599,40113008,369900,https://realtor.ca/real-estate/23193770/80-breckenridge-drive-unit-206-kitchener,947.0000,2 + 0,2,1,,,,https://cdn.realtor.ca/listings/TS637564334807000000/reb20/highres/8/40113008_1.jpg,Single Family,Apartment,Condominium,,,"2 BEDROOM, 2 BATH CONDO IN DESIRABLE STANLEY PARK. Welcome to 80 Breckenridge Drive Unit 206. Conveniently located within walking distance to shopping and restaurants and minutes away from schools, parks, Chicopee Ski Hill, and easy highway access. This lovely unit offers a spacious open concept dining/living room with access to a large covered balcony. The kitchen features white cabinetry, tiled backsplash and ample counter space. The master bedroom offers a sizeable closet and a 2-piece ensuite. Completing this unit is an additional bright bedroom and full 4-piece bath. Unit comes with one parking space PLUS the condo fee includes all utilities. Great opportunity to own your first house or investment! Book your showing today! (63306778)"
1198 Eagle Street N,,Cambridge,Ontario,N3H1C7,Canada,43.40442263,-80.3500953,40109494,500000,https://realtor.ca/real-estate/23193772/1198-eagle-street-n-cambridge,992.2100,2 + 1,2,1,,under 1/2 acre,54 ft,https://cdn.realtor.ca/listings/TS637564334832670000/reb20/highres/4/40109494_1.jpg,Single Family,House,Freehold,Detached Garage,4,"This meticulously maintained all brick bungalow is approximately 1000 sq. ft. plus fully finished lower level and is situated on a 54' x 165' fully fenced pool sized lot, single garage with an attached rear storage room and parking for 3+ in the drive. Beautifully manicured property and lovely gardens. A_ lovely 2 tiered deck and covered gazebo to enjoy the beauty of Mother Nature. Enjoy a morning coffee on your cozy front porch. The main floor offers two bedrooms, a bright and airy bathroom, formal living room with French doors, hardwood flooring and a wood fireplace ('AS IS' never used), combination kitchen and formal dining room for your entertaining needs. The lower level offers a full length recreation room with an additional bedroom and 2 pc bath, and separate laundry area. Loads of updates which include, new windows (Aug 2020), Roof - (Sept 2020), Air and Furnace (April 2021), freshly painted throughout (Sept 2020). This home has no rental equipment. (63303266)"
211 150 Water Street N,,Cambridge,Ontario,N1R3B6,Canada,43.365739,-80.316275,H4106668,379900,https://realtor.ca/real-estate/23193411/211-150-water-street-n-cambridge,615 sqft,1,1,1,,x,,https://cdn.realtor.ca/listings/TS637564289949670000/reb14/highres/8/h4106668_1.jpg,Single Family,Apartment,Condominium,Underground,1,"Modern One Bedroom Condo At The Grand With Grand River View, Laminate And Ceramic Tile Flooring, Open Concept Kitchen With Granite Countertops, Designated Underground Parking And Storage Locker, Controlled Entry, Fitness Centre, Party And Games Room. Grand River Trails At Your Doorstep And Walk To Quaint Shops, Restaurants, Cambridge Farmers' Market, Idea Exchange And The Hamilton Family Theatre. Close To Many Amenities In The Area. (27300079)"
1684 Fischer Hallman Road,,Kitchener,Ontario,N2R1P7,Canada,43.38219254,-80.48868467,40112951,449000,https://realtor.ca/real-estate/23193616/1684-fischer-hallman-road-kitchener,,2 + 0,2,,,,,https://cdn.realtor.ca/listings/TS637564315132330000/reb85/highres/1/40112951_1.jpg,Single Family,Row / Townhouse,Condominium,Visitor Parking,,"Beautiful 2 Bed 1.5 Bath Stacked Townhouse In Prime Kitchener Location. Open Concept Main Floor, Stunning Kitchen With Quartz Counters, High-End Kitchen Appliances.The Bright Dining Area Offers An Attractive Feature Wall And Overlooks The Living Room With Walkout To A Large Balcony. Master Bedroom Has A Walkout Balcony.2nd Floor Laundry. Very Clean Well Kept Unit. The 4 Pc Bath Has Quartz Counters, 12 By 24 Ceramic Flooring, Upgraded Hardware And Toilet. The Convenient Upper Floor Laundry Has A Front Load Washer And Dryer. Upgraded Lighting Throughout, Central Air, And Water Softener. (63306567)"
48 Moffat Dr,,Cambridge,Ontario,N1R6C2,Canada,43.3463634,-80.2936046,X5231389,549900,https://realtor.ca/real-estate/23193277/48-moffat-dr-cambridge,,4,2,1,,39.99 x 110 FT,,https://cdn.realtor.ca/listings/TS637564281171170000/reb82/highres/9/x5231389_1.jpg,Single Family,House,Freehold,Detached Garage,4,"Attention Investors! Welcome To 48 Moffat Drive Located In A Quiet Neighbourhood In The East End Of Galt. This All Brick Bungalow Features 4 Bedrooms, 2 Full Bathrooms And An In-Law Suite. Cozy Living Room Includes An Electric Fireplace With Ample Amounts Of Sunlight Through The Large Front Bay Window. Spacious Eat-In Kitchen, Three Bedrooms On The Main Floor And Fully Finished Basement With A Separate Entrance Allows For An In-Law Suite.**** EXTRAS **** Fully Fenced Backyard And Large Driveway Has Space For 4 Car Parking. This Home Is Close To Parks, Schools, Shopping, Public Transit And More. (28424666)"
15 Green Valley Drive,32,Kitchener,Ontario,N2P1K7,Canada,43.39948368,-80.43197864,40112517,470000,https://realtor.ca/real-estate/23192506/15-green-valley-drive-unit-32-kitchener,,3 + 0,3,2,,,,https://cdn.realtor.ca/listings/TS637564263585230000/reb16/highres/7/40112517_1.jpg,Single Family,Row / Townhouse,Condominium,,,"This townhouse is a wonderful choice for first time home buyers or an investment property. Watch your kids play from the front porch with views of the yard and street. As you walk in the front door and make your way through the open concept main floor, find a fully renovated kitchen with many updates including back splash, counters, cabinets, and lighting. Dining room/living area and 2 pc powder room. Large window lets in tons of light and there is a back door that leads to the yard. Second floor of this home, find a master bedroom with large closet and two additional bedrooms plus a 4 pc bath. A fully finished spacious basement with laminate flooring, rec room, 2 storage areas, laundry and a 3pc bath. Steps away from walking trails and the Grand River. Close to Conestoga College, schools, shopping, restaurants, public transit, and minutes from HWY 401. (63305023)"
107 King William Crt,,Waterloo,Ontario,N3C4J3,Canada,43.4378,-80.292342,X5231007,594900,https://realtor.ca/real-estate/23193228/107-king-william-crt-waterloo,,3,3,2,,23 x 121 FT,,https://cdn.realtor.ca/listings/TS637564280441530000/reb82/highres/7/x5231007_1.jpg,Single Family,Row / Townhouse,Freehold,Attached Garage,5,"Beautiful 3 Bed,  3 Bath Townhome In Family-Friendly Hespler With A Host Of Updates And Upgrades. Recent Installments Include The Brand-New Countertops In The Kitchen, Which Also Features An All-Stainless Appliance Set, As Well As All-New Led Lighting Throughout The Home. Enormous Deck! 5 Mins To 401 And Close To Greenbelt. Get It Fast!**** EXTRAS **** Built-In Microwave, Carbon Monoxide Detector, Dishwasher, Dryer, Microwave, Refrigerator, Smoke Detector, Stove, Washer. Hwt & Gas Under Contract (28424235)"
23 Marshall St,,Waterloo,Ontario,N2J2T1,Canada,43.4729033,-80.5227255,X5231073,589000,https://realtor.ca/real-estate/23193239/23-marshall-st-waterloo,,5,2,1.5000,,33.01 FT,,https://cdn.realtor.ca/listings/TS637564280460500000/reb82/highres/3/x5231073_1.jpg,Single Family,House,Freehold,,,"5 Bedroom! 2 Bathrooms! Detached Home! This Home Has Charm! Desirable, Ideal Area Next To Campus. Turn-Key W/Lots Of Updates! Move-In Ready Or It Rent Out! Licenced Student Home. 30K+ Yearly Revenue Potential Available! This Home Is In The Heart Of Campus! Popular Student Street. Seconds To Laurier Science Building! Zoning Allows For Future Growth Of Many Options! In Great Shape And Currently Generating Income**** EXTRAS **** Fridge, Stove, Washer, Dryer. Updated Kitchen, Floors, Bathrooms! Roof (2015) Tankless Water Heater And Water Softener (2011), Furnace (2011) Keyless Lock. Storage Shed! Central Location! Close To Transit, Schools, Shopping, Entertainment! (28424312)"
67 Woolwich Street,,Kitchener,Ontario,N2K1S2,Canada,43.48427579,-80.4840616,40112598,599900,https://realtor.ca/real-estate/23192079/67-woolwich-street-kitchener,1427.0000,3 + 1,3,2,0,under 1/2 acre,24 ft,https://cdn.realtor.ca/listings/TS637564226873400000/reb20/highres/8/40112598_1.jpg,Single Family,Row / Townhouse,Freehold,Attached Garage,2,"Gorgeous freehold end unit townhouse! No condo fees! This is the perfect home for a first time buyer or investors The carpet free main floor features a light-filled living room with a cozy gas fireplace and a dining room with doors leading to the private backyard. The upgraded kitchen comes with brand new stainless steel appliances and granite counter tops and offers ample counter space. The upper level boasts 3 spacious bedrooms including the primary with walk-in closet and en-suite privileges. As an added bonus, your finished lower level features an additional guest bedroom, rec room and a 3 pc bathroom. This stunning townhome won't last long. Book your showing today! (63304677)"
56 Joshua Street,,Kitchener,Ontario,N2C2T5,Canada,43.41693189,-80.46507534,40112736,599900,https://realtor.ca/real-estate/23192334/56-joshua-street-kitchener,,3 + 0,2,2.5000,0,under 1/2 acre,22 ft,https://cdn.realtor.ca/listings/TS637564248511930000/reb16/highres/6/40112736_1.jpg,Single Family,House,Freehold,Attached Garage,4,"Walk in and be amazed at this clean 3 bedroom semi in great a neighborhood with large fenced in lot. Close to schools, walking trails, stores and amenities. Eclipse shutters throughout. Driveway fits 3 cars. Appliances included. (63305070)"
1380 Michael Cres,,Cambridge,Ontario,N3H2P9,Canada,43.3958292,-80.3393484,X5231496,599900,https://realtor.ca/real-estate/23192163/1380-michael-cres-cambridge,,3 + 0,2,,,50 x 116.41 FT,,https://cdn.realtor.ca/listings/TS637564235207430000/reb86/highres/6/x5231496_1.jpg,Single Family,House,Freehold,Attached Garage,4,"Tucked Away On A Quiet Crescent 1380 Michael Sits On A Beautifully Landscaped Property W/A Private & Peaceful Yard Including Fruit Trees & Perennials - Ideal For Someone W/A Green Thumb! There Are 4 Spacious Levels Of Living. The Main Floor Offers A Bright Great Rm Lit W/A Gas Fp Which Was Extended To Bring In Natural Light W/The Addition Of Skylights. Just A Few Steps Up Offers A Large Living Rm & Dining Combo Flowing Into The Kitchen W/Ample Cupboard Space.**** EXTRAS **** The Upper Level Includes 3 Bedrooms And 2 Bathrooms. A Finished Lower Level Is Equipped With A Bar And Plenty Of Windows, Over 1900Sqft Await Your Personal Touches. Minutes From The 401! A Great Place To Call Home! (28423659)"
30 Green Valley Drive,96,Kitchener,Ontario,N2P1G8,Canada,43.39970056,-80.43351448,40112569,489900,https://realtor.ca/real-estate/23192213/30-green-valley-drive-unit-96-kitchener,2000.0000,3 + 0,3,3,,,,https://cdn.realtor.ca/listings/TS637564238647100000/reb16/highres/9/40112569_1.jpg,Single Family,Row / Townhouse,Condominium,Attached Garage,2,"Welcome to the Village on the Green!  Why green, you ask?  Take a short walk around and you'll soon find out.  This triple threat townhome offers three bedrooms, three bathrooms and three floors of fully functional living space.  With newer large windows throughout the entire home the light shines bright on the renovated kitchen complete with premium quartz countertops, a large double-wide sink with a touchless faucet, and into the coffee/wine bar nook perfect for relaxing or entertaining.  The living room and dining room add bright, spacious alternatives for additional home comfort.  With controlled-zone heating and cooling on all three floors, you can manage the ambiance of their unique settings.  Other features include a business in the front walk-in basement mudroom and a party in the back walk-out patio sliding doors to a large fenced deck. Beyond that an oversized fenced in community in-ground pool is now being prepped for the start of the season.  The master bedroom includes an ensuite bathroom and a walk-in closet.  These townhomes are purposefully designed with concrete walls to create a noise-free environment. This quiet community offers easy access to all imaginable amenities, all within a few minutes driving time, with the added bonus of close proximity to the 401.  Recreation is handy too, with Doon Valley Golf Club just down the road, as well as museums, art centres and hiking trails.  So take a hike to stop by for a viewing of this home! (63304782)"
22 Cathay Street,,Cambridge,Ontario,N1R4V2,Canada,43.35790902,-80.30302618,40110387,599900,https://realtor.ca/real-estate/23192080/22-cathay-street-cambridge,,3 + 0,3,2,1,under 1/2 acre,70 ft,https://cdn.realtor.ca/listings/TS637564226892300000/reb20/highres/7/40110387_1.jpg,Single Family,House,Freehold,Detached Garage,14,"This 2350 sqft century home features commercial and residential use. If you're looking to operate an at-home business with living accommodations, this home is what you have been waiting for! It can also be converted back to a single family residence with minor alterations. The main floor space was renovated with hardwood floors, freshly painted interior doors, kitchenette, and a 3-piece bath. Perfect use for a lawyer, doctor, chiropractor, hair dresser, or even a management company. The upstairs apartment has spectacular Brazilian hardwood floors, a 3-piece bath with marble, one bedroom, a living room/dining area, eat-in kitchen with a gas range, and a built-in island with a sink. You can enjoy a BBQ from the walk-out to deck from the kitchen. (63302467)"
48 Moffat Drive,,Cambridge,Ontario,N1R6C2,Canada,43.346379,-80.293579,40111996,549900,https://realtor.ca/real-estate/23191648/48-moffat-drive-cambridge,,3 + 1,2,1,,under 1/2 acre,40 ft,https://cdn.realtor.ca/listings/TS637564190913500000/reb20/highres/6/40111996_1.jpg,Single Family,House,Freehold,None,4,"Attention Investors! Welcome to 48 Moffat Drive located in a quiet neighbourhood in the East end of Galt. This all brick bungalow features 4 bedrooms, 2 full bathrooms and an in-law suite. Cozy living room includes an electric fireplace with ample amounts of sunlight through the large front bay window, Eat-in kitchen, three generous sized bedrooms on the main floor and fully finished basement with a separate entrance. The basement includes a large recreational room, bedroom and a spacious kitchen, perfect for an in-law suite! Fully fenced backyard and large driveway has space for 4 car parking. This home is close to parks, schools, shopping, public transit and more. Book your showing before it is gone! (63303644)"
1 Hillbrook Crescent,,Kitchener,Ontario,N2N1J4,Canada,43.424401,-80.525698,40109591,399900,https://realtor.ca/real-estate/23191556/1-hillbrook-crescent-kitchener,,3 + 1,2,,,,,https://cdn.realtor.ca/listings/TS637564184843430000/reb16/highres/1/40109591_1.jpg,Single Family,Row / Townhouse,Condominium,,,"Spectacular three plus one bedroom townhome offers ideal opportunity to enter Kitchener real estate market at a fantastic price! May also work as an entry level investment or first time home. This spacious three + one bedroom, two bathroom urban townhome abounds opportunities to take this property in several directions. Enjoy the modern upgrades throughout including granite and quartz counter tops, new flooring, fully finished basement, newer kitchen and appliances, neutral décor and much more! Note: private backyard with mature trees. Parking for two cars. Easy walk to all amenities including shops, parks, schools, hospital, restaurants and easy highway access. Easy to show! (63301147)"
